word,documents,data
Webinar,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
Workshop,1,"[['httpswww.auth.gren.txt', 5]]"
You,1,"[['httpsmy.auth.gr.txt', 1]]"
YouTube,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Yπηρεσίες,1,"[['httpsmy.auth.gr.txt', 1]]"
about,1,"[['httpswww.auth.gren.txt', 2]]"
administrative,1,"[['httpswww.auth.gren.txt', 3]]"
and,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 19]]"
are,1,"[['httpsmy.auth.gr.txt', 1]]"
area,1,"[['httpswww.auth.gren.txt', 4]]"
by,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
campus,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 3]]"
centre,1,"[['httpswww.auth.gren.txt', 1]]"
cities.,1,"[['httpswww.auth.gren.txt', 1]]"
city,1,"[['httpswww.auth.gren.txt', 2]]"
clicking,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
cloud,1,"[['httpsmy.auth.gr.txt', 1]]"
comprises,1,"[['httpswww.auth.gren.txt', 1]]"
consent,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
consent.Cookie,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
consist,1,"[['httpswww.auth.gren.txt', 2]]"
contemporary,1,"[['httpswww.auth.gren.txt', 7]]"
